fid,color_2,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
139,3,Lower Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08696272,0,0,0,0, ,, ,,2424371.801,8050.465609,3174.107263,376867.2538
140,3,Loyola/Notre Dame,3208,2780,188,7,108,1,40,84,158,1195,2013,2,0,2,6,3132,32,3,22,9,13,11,4,1,0,1,0,15,15,13,2,0,0,0,0,0.30078127,10665.55766,-864,-481,2.66667008, ,, ,,8385267.059,17177.4419,6776.807734,1304514.124
141,5,Lucille Park,567,9,548,3,1,0,0,6,5,301,266,40,48,11,24,64,59,99,172,50,110,26,8,11,5,73,28,220,159,75,84,61,7,1,53,0.10481052,5409.761946,51,-1,3.05660009, ,, ,,2921938.105,9489.166115,3738.588481,454453.5916
142,1,Madison Park,2134,305,1730,8,31,2,9,49,38,986,1148,191,215,62,65,317,379,237,502,166,403,93,25,39,20,271,191,1316,1033,101,932,283,147,13,123,0.15908533,13414.1842,-6,-55,1.98837995, ,, ,,4435026.89,14263.20634,5622.312012,689098.7027
143,2,Madison Eastend,2487,54,2371,10,6,0,15,31,53,1141,1346,271,297,112,152,293,316,294,555,197,599,151,54,66,27,382,200,916,746,312,434,170,73,6,91,0.104293,23846.27918,30,1,3.31903004, ,, ,,2907510.348,7197.115493,2835.09137,451710.8365
144,4,Mayfield,861,638,166,1,17,0,3,36,24,404,457,59,43,25,27,63,96,126,328,94,224,172,66,10,3,42,18,375,354,319,35,21,2,9,10,0.13002813,6621.643632,-95,-15,2.41525006, ,, ,,3624961.975,8117.617045,3200.234145,563616.6089
145,3,McElderry Park,4033,382,3238,33,48,0,190,142,473,1916,2117,411,524,202,230,533,615,522,790,206,877,229,107,109,43,539,325,1719,1172,341,831,547,187,52,308,0.12646332,31890.66801,-426,-156,3.43857002, ,, ,,3525581.133,8044.492459,3169.387448,547674.9241
146,3,Medfield,2748,2074,337,7,216,0,48,66,113,1323,1425,141,158,77,58,251,671,425,669,298,634,419,149,50,28,165,84,1406,1327,787,540,79,39,17,23,0.2601958,10561.27727,-12,-8,2.07083988, ,, ,,7253813.606,10675.33319,4211.809384,1128205.067
147,3,Medford,1412,664,379,16,35,2,251,65,423,721,691,107,101,25,46,165,281,202,342,143,317,152,50,56,21,109,56,610,578,202,376,32,21,2,9,0.154009,9168.295181,229,24,2.44290995, ,, ,,4293507.415,8548.495175,3367.631774,666628.3406
148,4,Mid-Govans,1465,135,1271,2,21,0,1,35,18,661,804,103,150,66,77,153,188,185,390,153,352,149,58,30,14,173,78,596,512,349,163,84,27,13,44,0.12883738,11370.92272,-75,-47,2.84570002, ,, ,,3591765.915,7206.922249,2841.9623,558906.5172
