fid,color_2,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
1,2,Abell,889,606,213,3,33,1,4,29,30,424,465,55,43,5,10,118,254,149,186,69,159,105,41,12,4,42,19,515,440,248,192,75,49,4,22,0.07298534,12180.52809,-107,-45,2.02045011, ,, ,,2034706.401,5892.827778,2324.674182,316336.0625
2,2,Allendale,3554,18,3497,8,6,0,5,20,21,1536,2018,179,315,136,181,317,383,315,1039,689,874,253,62,111,34,510,193,1608,1433,818,615,175,99,20,56,0.40628891,8747.469822,-150,-11,2.47244, ,, ,,11326639.48,14276.84523,5624.634685,1759173.438
3,2,Arcadia,1235,623,537,4,12,0,10,49,31,592,643,101,85,40,55,116,188,164,380,106,305,194,79,23,9,88,40,510,462,356,106,48,14,9,25,0.22606039,5463.14181,-17,-8,2.67316007, ,, ,,6302176.93,12268.0789,4839.572646,980017.9359
4,5,Arlington,2598,33,2496,3,9,0,10,47,17,1219,1379,148,237,92,114,231,297,305,775,399,585,215,63,76,28,294,130,1312,1079,485,594,233,64,24,145,0.18060179,14385.23874,-437,-126,2.38369011, ,, ,,5034869.061,9756.115594,3846.599506,783270.8329
5,2,Armistead Gardens,3458,2698,108,51,14,8,413,166,841,1621,1837,266,330,113,125,272,496,438,929,489,877,431,164,115,47,331,160,1543,1459,981,478,84,26,17,41,0.47279197,7313.998941,547,176,2.37012004, ,, ,,13180631.06,16915.74413,6667.429263,2048122.18
6,3,Ashburton,2520,33,2431,6,4,0,15,31,39,1082,1438,106,178,79,103,192,214,250,791,607,625,326,99,65,21,234,78,1202,1097,787,310,105,18,14,73,0.35243146,7150.326362,8,-16,2.29444003, ,, ,,9825186.071,16042.22755,6325.784782,1527621.232
7,4,Baltimore Highlands,2703,1023,700,63,75,11,693,138,1117,1485,1218,253,203,85,95,358,569,413,500,227,514,194,90,108,35,212,119,1148,876,302,574,272,98,45,129,0.15151165,17840.21202,387,-79,3.08561992, ,, ,,4223885.551,8315.125395,3277.863587,656088.308
8,2,Patterson Park Neighborhood,5820,2904,1682,108,143,2,774,207,1624,2957,2863,506,443,150,149,665,1732,851,1017,307,1152,625,250,157,65,370,195,2569,2095,1185,910,474,187,75,212,0.1689267,34452.81132,-135,28,2.76897001, ,, ,,4709387.5,10491.25198,4131.87839,731485.4878
9,1,Barclay,2181,302,1764,10,23,0,35,47,78,1149,1032,127,129,42,57,255,368,280,740,183,379,119,24,52,10,208,97,1490,955,223,732,535,127,33,375,0.14055223,15517.36315,-537,-132,2.1329801, ,, ,,3918355.624,8116.649312,3201.184686,608995.1021
10,3,Barre Circle,450,228,154,6,34,0,12,16,14,224,226,14,19,7,10,82,165,62,65,26,69,49,14,7,5,13,5,245,209,98,111,36,11,3,22,0.02394857,18790.26261,117,64,2.15311002, ,, ,,667645.2625,3977.193227,1568.501343,103679.537
11,4,Beechfield,3708,363,3216,7,29,0,20,73,87,1638,2070,256,372,174,161,384,573,484,1051,253,970,404,161,95,46,471,266,1554,1440,888,552,114,74,13,27,0.40295492,9202.02178,-50,30,2.54653, ,, ,,11233693.66,16371.15851,6447.515141,1744099.006
12,4,Belair-Parkside,444,108,299,1,7,0,1,28,10,197,247,24,51,18,33,33,68,54,119,44,106,55,19,5,3,46,23,183,157,121,36,26,5,8,13,0.03221343,13783.06741,-58,-7,2.8280301, ,, ,,898055.543,6678.39256,2634.122345,139637.274
13,1,Bellona-Gittings,599,481,64,0,35,0,2,17,19,286,313,38,58,20,21,32,39,69,191,131,178,159,63,8,2,11,5,265,246,211,35,19,6,6,7,0.16255973,3684.799332,0,-9,2.43495988, ,, ,,4531887.166,8679.204805,3423.869529,705428.9526
14,5,Berea,3865,32,3784,11,7,0,5,26,35,1749,2116,234,319,133,185,362,382,421,1092,737,930,280,72,119,34,531,193,1815,1518,815,703,297,115,16,166,0.34002464,11366.8233,-660,-179,2.54216003, ,, ,,9479305.006,12598.793,4967.146607,1473072.541
15,4,Better Waverly,2874,389,2363,9,27,0,28,58,92,1251,1623,224,260,109,118,306,507,361,790,199,606,173,63,82,39,351,186,1383,1149,434,715,234,60,29,145,0.28177899,10199.48262,-153,18,2.46475005, ,, ,,7855516.212,12435.94391,4904.538982,1221244.405
16,3,Beverly Hills,669,389,265,1,3,0,8,3,13,309,360,36,46,20,25,44,95,96,234,73,170,112,39,10,4,48,22,317,289,237,52,28,4,6,18,0.10416271,6422.643874,-132,-3,2.31487989, ,, ,,2903878.117,7224.234582,2849.490986,451633.2722
17,4,Biddle Street,1265,8,1239,0,2,0,6,10,10,601,664,97,129,44,66,139,126,155,315,194,314,78,23,39,4,197,84,601,429,208,221,172,45,4,123,0.11285041,11209.52858,-209,-64,2.94871997, ,, ,,3146076.544,8917.468797,3510.87116,488815.6304
18,4,Blythewood,72,67,0,0,0,0,0,5,3,38,34,2,12,2,5,1,2,12,20,16,21,19,8,2,0,0,0,28,26,26,0,2,0,0,2,0.0758924,948.7115578,44,15,2.76922988, ,, ,,2115750.308,5922.915126,2337.649205,329168.9795
19,4,Bolton Hill,4974,2807,1581,10,361,2,53,160,163,2215,2759,139,152,49,41,1496,708,479,1070,840,613,439,125,48,22,126,54,2883,2589,693,1896,294,177,8,109,0.22772467,21842.16518,-318,-83,1.6516, ,, ,,6348574.228,11003.0889,4335.456583,986511.2104
20,2,Booth-Boyd,822,25,776,3,1,0,0,17,8,408,414,60,94,26,40,98,106,89,232,77,187,39,13,21,9,127,54,430,275,74,201,155,9,10,136,0.03873237,21222.5567,-164,-38,2.98908996, ,, ,,1079792.291,4766.047367,1876.302258,167692.6034
21,3,Brewers Hill,1511,1249,56,24,39,1,104,38,171,737,774,79,56,24,19,129,526,200,309,169,289,182,49,38,16,69,24,754,691,477,214,63,16,18,29,0.08915617,16947.7876,17,14,2.18669009, ,, ,,2485521.702,6423.650169,2532.191469,385971.2345
22,1,Bridgeview/Greenlawn,1975,7,1943,4,2,0,1,18,11,874,1101,119,162,61,84,183,223,243,663,237,460,141,33,61,19,258,101,927,848,394,454,79,25,7,47,0.28330317,6971.330218,-335,-47,2.32901, ,, ,,7898007.702,13013.06612,5128.295953,1227061.201
23,2,Broadway East,4931,117,4681,15,17,2,15,84,65,2217,2714,456,478,205,245,547,571,588,1272,569,1082,243,85,141,55,698,351,2617,1680,642,1038,937,219,39,679,0.3463413,14237.40102,-1905,-523,2.87142992, ,, ,,9655402.72,12525.8044,4936.970615,1500389.719
24,4,Broening Manor,1726,1062,343,28,18,1,231,43,429,847,879,130,133,42,74,167,264,225,464,227,390,213,76,48,22,129,58,706,663,352,311,43,29,8,6,0.1625869,10615.86127,56,-33,2.60331988, ,, ,,4532644.567,10987.33933,4327.606941,703668.2981
25,4,Brooklyn,9996,4788,4051,52,148,2,502,453,1149,4870,5126,1055,1163,378,390,1132,1740,1237,2242,659,2279,937,423,320,171,1022,647,4343,3597,1282,2315,746,450,103,193,0.85331795,11714.27364,867,-10,2.77870011, ,, ,,23789044.06,24120.22361,9497.111863,3688823.117
26,1,Burleith-Leighton,737,5,711,2,0,0,0,19,3,330,407,55,57,23,26,70,90,72,211,133,187,55,12,23,4,109,40,327,291,196,95,36,4,3,29,0.08452922,8718.877553,33,-3,2.53264999, ,, ,,2356530.24,7955.350184,3136.143966,366301.8952
27,1,Butchers Hill,1889,1320,349,45,68,0,70,37,130,932,957,123,63,29,28,191,634,328,361,132,351,238,79,22,9,91,34,1025,888,454,434,137,42,38,57,0.07764354,24329.13,1,28,2.10247993, ,, ,,2164569.261,5963.734129,2351.07516,336203.8028
28,1,Callaway-Garrison,1798,35,1720,9,7,0,7,20,11,819,979,97,130,57,70,197,224,233,516,274,443,174,44,52,16,217,73,769,657,368,289,112,14,9,89,0.190305,9447.991008,-165,-26,2.72603011, ,, ,,5305377.9,9848.553636,3885.321538,824957.9552
29,3,Cameron Village,1435,48,1353,7,0,1,11,15,32,642,793,101,127,41,67,145,215,169,414,156,368,139,41,39,18,190,104,725,630,335,295,95,47,7,41,0.10384221,13819.04228,-158,-18,2.27143001, ,, ,,2894943.309,8011.332456,3159.968746,450465.8646
30,4,Canton,12192,10811,485,45,383,11,222,235,641,6017,6175,512,232,80,88,1253,4835,1738,2192,1262,2126,1603,387,198,55,325,91,7336,6406,3893,2513,930,325,212,393,0.57047339,21371.72414,1305,855,1.87871003, ,, ,,15903821.84,20047.33076,7896.713514,2469522.371
31,2,Canton Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48846934,0,0,0,0, ,, ,,69374266.17,73390.89102,28924.39448,10768272.67
32,4,Carroll - Camden Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70301747,0,0,0,0, ,, ,,19598923.86,32614.02645,12850.11812,3042538.524
33,3,Carroll Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34396398,0,0,0,0, ,, ,,9589127.071,14047.28204,5532.276201,1488742.894
34,3,Carroll-South Hilton,1370,40,1315,1,1,0,1,12,13,630,740,84,131,44,62,142,177,169,367,194,340,101,24,47,15,192,76,625,518,315,203,107,27,11,69,0.48509858,2824.168215,-182,-54,2.63513994, ,, ,,13523718.25,15897.6177,6266.647296,2100162.645
35,5,Carrollton Ridge,3645,1222,2162,10,80,1,65,105,108,1752,1893,327,467,173,198,393,484,507,878,218,782,234,108,136,61,412,242,1988,1145,322,823,843,176,51,616,0.22287565,16354.41095,-1180,-521,3.17118, ,, ,,6213391.717,10655.00702,4199.346726,964814.1049
36,3,Cedarcroft,726,633,45,1,28,0,3,16,25,352,374,54,101,26,21,31,35,127,236,95,192,175,94,2,1,15,9,277,263,237,26,14,5,4,5,0.13371576,5429.426935,137,36,2.74144005, ,, ,,3727766.794,8018.45088,3162.532354,580271.1247
37,1,Cedmont,2594,1175,1307,10,50,0,16,36,66,1226,1368,174,214,96,117,205,365,391,757,275,626,382,166,57,20,187,78,1074,976,796,180,98,33,25,40,0.37598718,6899.171368,13,-32,2.64548993, ,, ,,10481879.12,15076.2328,5947.730143,1630568.648
38,2,Cedonia,3316,176,3051,4,15,0,21,49,63,1467,1849,232,298,136,149,364,483,415,940,299,857,391,136,65,29,401,196,1428,1295,742,553,133,77,20,36,0.28220315,11750.4002,-265,-78,2.56062006, ,, ,,7867340.945,17746.67295,7003.797657,1223225.613
39,2,Central Forest Park,1273,48,1205,1,7,0,1,11,18,606,667,82,100,36,64,121,149,124,374,223,261,119,44,28,8,114,43,571,418,222,196,153,78,19,56,0.1493383,8524.26976,-216,-96,2.82296991, ,, ,,4163296.357,8735.006127,3442.260198,647283.1676
40,2,Central Park Heights,6026,109,5774,11,15,0,22,95,85,2746,3280,492,570,225,297,731,774,713,1572,652,1355,368,97,180,69,807,392,2829,1994,846,1148,835,175,36,624,0.44284568,13607.44879,-1890,-488,2.95436, ,, ,,12345779.8,19209.90553,7579.322762,1920356.458
41,2,Charles North,1059,216,666,5,100,1,39,32,60,608,451,26,17,6,10,94,209,152,390,155,104,58,10,16,5,30,13,916,716,51,665,200,117,11,72,0.13879817,7629.78315,-77,-44,1.39664995, ,, ,,3869455.649,9452.263528,3726.92354,601325.1061
42,1,Cherry Hill,8367,238,7919,16,21,1,62,110,140,3431,4936,949,1242,398,375,1013,1228,759,1710,693,2096,397,149,193,82,1506,1015,3441,3199,547,2652,242,127,12,103,1.17120628,7143.916593,595,268,2.61549997, ,, ,,32651226.63,28581.08077,11253.58991,5065329.467
43,3,Cheswolde,7270,5654,1053,12,391,11,43,106,170,3296,3974,693,626,248,220,714,1301,733,1353,1382,1661,1354,611,70,30,237,125,3445,3291,1311,1980,154,74,30,50,0.85527834,8500.156709,876,173,2.20904994, ,, ,,23843696.56,22004.58134,8673.5144,3711319.358
44,4,Chinquapin Park - Belvedere,1309,134,1121,14,7,1,6,26,23,584,725,75,93,50,47,116,140,170,421,197,352,177,48,27,12,148,57,551,525,456,69,26,11,7,8,0.11472921,11409.47395,-125,-9,2.48380994, ,, ,,3198454.191,9169.641097,3615.691741,497784.0908
45,5,Orchard Ridge,546,44,475,9,2,0,7,9,18,216,330,68,80,29,30,60,84,62,103,30,142,9,5,14,8,119,77,273,222,26,196,51,41,10,0,0.27758565,1966.960414,-1154,-473,2.45946002, ,, ,,7738613.043,13101.45015,5161.579636,1202695.492
46,2,Clifton Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56029005,0,0,0,0, ,, ,,15619927.81,16821.57889,6630.503359,2428030.786
47,5,Coldspring,1029,165,790,5,35,0,4,30,17,413,616,52,57,22,27,51,109,149,300,262,201,124,49,12,6,65,28,630,608,321,287,22,11,3,8,0.64987672,1583.377217,149,113,1.69243001, ,, ,,18117450.82,19438.05571,7671.059401,2818668.628
48,5,Coldstream Homestead Montebello,7266,118,6972,21,31,0,16,108,102,3337,3929,489,732,310,365,818,911,842,1917,882,1714,486,151,211,63,1017,432,3140,2428,1257,1171,712,208,60,444,0.51473833,14115.90991,-1471,-327,2.96169996, ,, ,,14350023.87,16776.70222,6611.661037,2230811.69
49,3,Concerned Citizens Of Forest Park,1153,12,1126,1,2,0,1,11,12,523,630,58,97,48,65,138,122,118,341,166,288,98,33,30,13,160,59,546,432,238,194,114,44,20,50,0.07988739,14432.8142,-177,-39,2.63193988, ,, ,,2227123.981,6062.794874,2390.442371,346223.9845
50,4,Coppin Heights/Ash-Co-East,2660,13,2592,7,10,3,7,28,20,1210,1450,189,273,119,131,295,316,292,719,326,604,164,43,79,21,361,159,1269,891,457,434,378,78,28,272,0.1919624,13856.88016,-444,-202,2.97979998, ,, ,,5351583.22,11178.83243,4404.619939,831569.1452
51,4,Cross Country,5157,4039,822,2,175,0,50,69,111,2340,2817,483,614,242,251,461,674,481,1015,936,1143,921,457,58,26,164,85,2130,1989,1037,952,141,64,32,45,0.59240599,8705.178689,492,19,2.51154994, ,, ,,16515265.09,20723.10472,8172.117485,2570528.283
52,1,Cross Keys,856,725,85,0,25,1,5,15,15,344,512,9,18,4,1,17,89,60,272,386,169,143,18,3,1,23,5,729,625,497,128,104,18,20,66,0.2782102,3076.810196,-3,-15,1.36960005, ,, ,,7756024.396,15970.11968,6306.087903,1206742.604
53,1,Curtis Bay,4063,2512,1086,30,104,0,88,243,227,2028,2035,386,395,113,122,430,706,528,1051,332,943,456,170,144,67,343,189,1904,1528,618,910,376,232,48,96,0.51111181,7949.336874,81,-35,2.65902996, ,, ,,14248922.63,18848.72547,7427.241449,2208936.046
54,5,Curtis Bay Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41878134,0,0,0,0, ,, ,,11674907.04,26426.00222,10404.7547,1809891.545
55,4,Cylburn,2357,43,2245,18,5,0,12,34,26,1065,1292,154,208,99,84,211,284,247,671,399,591,213,55,62,20,316,138,1047,950,523,427,97,35,9,53,0.22094155,10667.97966,-229,7,2.48105001, ,, ,,6159472.371,10917.68914,4305.991209,958197.1752
56,4,Darley Park,1218,7,1189,1,6,0,0,15,7,585,633,94,128,57,61,138,144,145,312,139,278,76,24,34,15,168,66,525,378,181,197,147,42,10,95,0.05196522,23438.7496,-334,-87,3.22221994, ,, ,,1448701.657,5721.587759,2253.876232,225163.2533
57,4,Dickeyville,156,143,9,0,0,0,1,3,6,73,83,12,5,0,1,3,15,19,67,34,33,28,9,1,0,4,1,88,84,81,3,4,0,0,4,0.21312911,731.9506653,-143,-7,1.85713994, ,, ,,5941675.046,12376.92713,4882.772644,923495.9434
58,2,Dolfield,2156,48,2065,12,10,0,4,17,17,931,1225,147,175,75,90,191,251,251,610,366,517,168,46,45,20,304,132,935,792,396,396,143,41,9,93,0.17005855,12677.98645,-87,-55,2.61364006, ,, ,,4740941.33,8664.0844,3415.235516,737318.6185
59,4,Dorchester,1700,17,1659,3,6,0,3,12,17,797,903,128,146,87,87,172,211,181,479,209,396,131,52,57,22,208,88,760,598,301,297,162,30,7,125,0.19057692,8920.282625,-118,-71,2.82106995, ,, ,,5312958.391,9388.65762,3703.15501,826141.7041
60,2,Downtown,4448,2161,1126,12,927,6,65,151,234,2259,2189,98,40,21,17,1017,1999,512,634,110,417,310,75,37,14,70,31,3228,2600,137,2463,628,349,133,146,0.40735121,10919.32413,2592,1550,1.48385, ,, ,,11356254.81,14822.44316,5837.427213,1763829.55
61,2,Druid Heights,1497,19,1454,5,4,0,2,13,11,732,765,105,129,68,72,165,193,162,432,171,292,64,22,46,16,182,90,1074,591,173,418,483,55,22,406,0.09051564,16538.57743,-402,-184,2.50931, ,, ,,2523421.258,8006.285136,3154.652968,392122.1584
62,4,Druid Hill Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97471749,0,0,0,0, ,, ,,27173455.58,22839.3689,9003.267254,4224309.79
63,3,Dunbar,889,47,734,1,91,0,1,15,8,343,546,75,102,24,28,154,166,74,197,69,170,25,11,9,3,136,80,385,367,1,366,18,14,0,4,0.17156584,5181.683891,-289,-211,1.98909997, ,, ,,4782962.254,9686.209065,3816.089757,742982.8479
64,3,Dundalk Marine Terminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42808836,0,0,0,0, ,, ,,11934370.9,15859.53758,6253.560038,1851391.128
65,4,East Arlington,2432,18,2368,0,8,2,8,28,27,1036,1396,160,231,96,95,248,342,289,640,331,635,196,69,82,30,357,167,1067,1000,481,519,67,41,11,15,0.12934849,18801.91986,-27,-37,2.43199992, ,, ,,3606014.605,8629.668736,3403.339645,560714.4832
66,2,East Baltimore Midway,3034,40,2924,13,20,0,0,37,13,1407,1627,227,291,122,120,337,364,365,824,384,708,195,57,83,25,430,164,1556,1019,511,508,537,142,43,352,0.29982052,10119.38722,-1105,-303,2.9774301, ,, ,,8358483.119,12869.37248,5069.503781,1299089.258
67,3,Easterwood,1596,31,1539,6,3,0,1,16,26,727,869,114,160,73,85,182,204,177,412,189,353,93,27,41,16,219,108,775,561,291,270,214,39,5,170,0.07724201,20662.32895,-139,-93,2.84491991, ,, ,,2153375.282,5925.671318,2336.48632,334611.5353
68,5,Eastwood,577,486,25,1,10,1,29,25,74,281,296,34,40,14,16,58,101,81,144,89,137,84,31,19,7,34,13,270,253,188,65,17,4,6,7,0.02804998,20570.42299,36,0,2.28063011, ,, ,,781985.4976,4183.801775,1650.811997,121453.2345
69,3,Edmondson Village,3940,30,3832,6,2,0,4,66,32,1712,2228,272,298,185,179,464,475,404,1043,620,1044,334,89,100,33,610,274,1666,1493,943,550,173,64,19,90,0.18583065,21202.09944,-524,-89,2.63697004, ,, ,,5180640.568,9828.193102,3875.516225,804798.9084
70,2,Ednor Gardens-Lakeside,5185,802,4153,10,93,0,25,102,70,2284,2901,290,363,159,167,375,699,683,1464,985,1244,646,188,95,39,503,181,2410,2261,1604,657,149,72,29,48,0.51069282,10152.87411,117,333,2.27775001, ,, ,,14237242.01,18899.68036,7454.12481,2213913.385
71,5,Ellwood Park/Monument,3580,415,2647,44,72,7,276,119,501,1738,1842,323,416,163,180,486,601,435,795,181,789,217,77,94,46,478,261,1363,1047,365,682,316,175,26,115,0.13944485,25673.23062,74,-31,3.41929006, ,, ,,3887483.98,8537.080389,3363.068259,603899.2365
72,1,Evergreen,382,348,9,2,9,0,0,14,9,182,200,26,41,3,8,12,53,77,126,36,98,76,38,6,1,16,9,216,185,128,57,31,10,7,14,0.0575549,6637.140093,-25,-22,2.04324007, ,, ,,1604532.382,5208.913026,2054.559236,249601.6169
73,4,Evergreen Lawn,1132,10,1082,2,3,0,8,27,19,523,609,72,88,39,59,114,115,130,345,170,273,102,35,36,8,135,51,441,399,283,116,42,8,3,31,0.0534031,21197.26874,-91,-47,2.83709001, ,, ,,1488787.209,5620.077898,2214.002597,231271.7985
74,3,Fairfield,159,105,43,0,1,0,7,3,19,72,87,13,16,4,1,11,30,24,46,14,32,13,5,2,1,17,13,100,69,9,60,31,17,5,9,2.4042995,66.13152802,-60,0,2.30434989, ,, ,,67027755.16,82665.3373,32559.66037,10395167.6
75,1,Fairmont,347,10,322,7,1,0,3,4,2,166,181,21,22,4,11,32,29,42,101,85,82,40,5,11,3,31,7,164,143,104,39,21,8,5,8,0.16566149,2094.632796,-37,-20,2.42656993, ,, ,,4618358.942,10861.32207,4279.967136,717666.5367
76,1,Fallstaff,4219,1575,2031,23,102,25,382,81,589,1958,2261,343,331,140,176,431,607,494,1109,588,965,525,225,123,39,317,160,1935,1789,649,1140,146,108,13,25,0.2955371,14275.7031,312,96,2.3543899, ,, ,,8239068.735,13936.10992,5501.800498,1282301.737
77,4,Federal Hill,2600,2315,132,5,86,0,13,49,79,1349,1251,123,71,9,19,358,933,345,537,205,424,366,102,23,9,35,16,1554,1395,670,725,159,83,27,49,0.14891493,17459.63249,198,101,1.83369004, ,, ,,4151493.458,10057.51634,3961.884432,644569.5833
78,3,Fells Point,3976,3074,349,19,208,6,195,125,444,2141,1835,119,66,16,29,377,1467,621,937,344,620,475,92,62,17,83,29,2807,2246,681,1565,561,293,55,213,0.28805982,13802.68834,924,542,1.67808997, ,, ,,8030614.924,22094.16537,8706.839834,1247024.11
79,5,Forest Park,1560,25,1504,8,1,0,5,17,35,681,879,96,102,45,64,177,169,180,500,227,367,137,38,46,21,184,59,933,667,275,392,266,54,6,206,0.15508019,10059.31174,-147,-40,2.33882999, ,, ,,4323370.343,9202.000788,3627.252694,672114.4317
80,4,Forest Park Golf Course,392,11,376,0,0,0,2,3,9,185,207,34,36,9,14,45,35,45,103,71,93,34,9,18,7,41,15,136,126,105,21,10,1,1,8,0.10300755,3805.546265,61,0,3.11110997, ,, ,,2871674.216,7965.565859,3139.347308,446431.0822
81,4,Frankford,17694,2092,14595,67,400,4,115,421,362,8056,9638,1383,1708,654,748,2180,2672,2269,4617,1463,4175,1761,679,432,211,1982,1191,7894,7137,2970,4167,757,430,106,221,2.12482169,8327.286949,902,31,2.44359993, ,, ,,59236392.29,38658.58682,15242.21769,9210351.615
82,1,Franklin Square,2967,98,2728,22,11,0,62,46,108,1432,1535,249,275,103,118,324,369,351,859,319,649,144,39,84,38,421,207,1861,1172,296,876,689,168,23,498,0.17211564,17238.40929,-585,-220,2.5, ,, ,,4798289.713,9307.524702,3667.773874,745246.3852
83,1,Franklintown,1282,88,1170,4,1,0,9,10,28,559,723,120,155,59,60,164,212,159,287,66,316,102,44,32,17,182,117,546,500,107,393,46,28,2,16,0.59535569,2153.334567,-132,-60,2.54999995, ,, ,,16597497.85,22917.32365,9030.953958,2578957.838
84,1,Franklintown Road,1940,5,1885,5,8,0,6,31,31,909,1031,136,157,71,98,210,218,183,553,314,425,117,33,55,19,253,110,962,793,338,455,169,59,33,77,0.12289767,15785.48942,-425,-173,2.44640994, ,, ,,3426176.928,8198.191068,3233.308895,532240.8622
85,1,Garwyn Oaks,1132,19,1100,0,1,0,0,12,6,520,612,71,107,37,46,126,120,142,330,153,247,107,27,22,11,118,49,673,404,196,208,269,18,13,238,0.13135706,8617.732138,-442,-169,2.76237988, ,, ,,3662010.151,8082.237028,3188.92259,569203.7983
86,5,Gay Street,1998,21,1943,0,13,0,3,18,16,775,1223,227,288,104,90,229,262,171,359,268,441,70,33,25,9,346,240,927,800,83,717,127,50,5,72,0.10959025,18231.54793,-80,-19,2.47749996, ,, ,,3055188.765,7137.347825,2814.425435,474661.0329
87,2,Glen,7876,2949,4624,16,72,6,92,117,154,3605,4271,511,693,293,322,703,797,767,2103,1687,1822,1055,404,160,63,607,227,3630,3381,1641,1740,249,107,42,100,0.74724458,10540.05637,-235,-51,2.36824011, ,, ,,20831899.97,21572.49058,8507.221205,3241503.873
88,2,Glen Oaks,2887,212,2558,11,37,4,11,54,55,1282,1605,202,284,117,125,405,397,357,785,215,735,287,124,82,36,366,195,1300,1171,538,633,129,82,15,32,0.26925678,10722.10691,-45,-30,2.46540999, ,, ,,7506418.238,13893.74296,5487.190249,1168299.424
89,3,Glenham-Belhar,6175,2314,3573,31,59,1,43,154,124,2805,3370,390,543,242,304,554,855,860,1725,702,1476,775,326,138,67,563,305,2674,2422,1715,707,252,84,56,112,0.74944236,8239.459464,86,-38,2.4913299, ,, ,,20893170.5,19395.67434,7645.957274,3250462.431
90,2,Graceland Park,2011,1444,224,39,71,0,162,71,410,997,1014,137,157,45,55,205,312,215,562,323,465,296,93,52,14,117,51,830,741,551,190,89,31,24,34,0.31253865,6434.404117,292,35,2.69095993, ,, ,,8713042.749,17767.56563,7007.622928,1352916.191
91,5,Greektown,3678,2401,251,41,56,11,777,141,1293,1925,1753,289,281,124,86,346,844,454,777,477,827,508,199,115,41,204,99,1510,1309,664,645,201,98,38,65,0.22444475,16387.10609,384,-5,2.80977988, ,, ,,6257135.61,13857.84615,5461.945462,971690.9471
92,3,Greenmount Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068963,0,0,0,0, ,, ,,2980085.944,6951.224029,2741.127154,463091.679
93,5,Greenmount West,1339,331,960,5,20,0,2,21,14,697,642,83,86,35,30,215,289,164,342,95,241,72,23,37,10,132,68,854,570,135,435,284,102,16,166,0.10012821,13372.85363,144,90,2.31052994, ,, ,,2791403.339,7365.444376,2904.056571,433770.2377
94,3,Greenspring,3436,22,3357,5,7,1,3,41,17,1512,1924,338,347,152,173,400,445,360,799,422,856,235,72,94,43,527,281,1513,1187,576,611,326,130,56,140,0.1738566,19763.41412,-562,-165,2.8761599, ,, ,,4846824.472,9653.227401,3807.908006,753771.6167
95,5,Grove Park,1934,21,1859,10,4,0,5,35,19,832,1102,126,129,76,83,201,218,197,517,387,489,192,54,53,21,244,124,945,871,406,465,74,38,5,31,0.34330437,5633.484932,-239,63,2.21929001, ,, ,,9570738.286,12781.65488,5040.059075,1488568.204
96,4,Guilford,2214,1810,221,2,100,3,16,62,70,1099,1115,132,218,80,79,139,134,327,775,330,610,552,232,13,6,45,20,941,876,791,85,65,7,7,51,0.55272714,4005.593004,116,65,2.52740001, ,, ,,15409086.91,19160.95599,7558.170915,2396565.36
97,5,Gwynns Falls,1184,641,479,9,3,0,12,40,51,593,591,85,116,47,58,117,167,166,327,101,285,137,52,49,22,99,47,511,439,244,195,72,19,8,45,0.17874824,6623.841268,1,-28,2.69704008, ,, ,,4983195.133,10144.01974,3995.749034,773691.5744
98,2,Gwynns Falls/Leakin Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74538332,0,0,0,0, ,, ,,20780011.31,35837.04568,14123.30032,3228695.463
99,5,Hampden,6963,6208,314,18,186,1,60,176,221,3371,3592,356,304,114,126,640,1912,1005,1566,940,1417,933,248,170,69,314,131,3858,3432,1913,1519,426,164,68,194,0.61445428,11332.00663,-499,-35,2.01980996, ,, ,,17129933.74,19317.3124,7618.188037,2663581.318
