CrimeDateTime,date,year,month,day,crimecode,description,Latitude,Longitude,Latitude_rad,Longitude_rad,Neighborhood,IsBlack,IsWhite
2011-01-13 23:40:00,2011-01-13,2011,1,13,4B,AGG. ASSAULT,39.2886089195227,-76.63822532957,0.685715584174083,-1.337589364886313,FRANKLIN SQUARE,True,False
2011-01-14 00:25:00,2011-01-14,2011,1,14,4B,AGG. ASSAULT,39.3028466528361,-76.5865984009519,0.6859640794984228,-1.3366883049992349,MIDDLE EAST,True,False
2011-01-14 15:50:00,2011-01-14,2011,1,14,4D,AGG. ASSAULT,39.2915715416796,-76.6199202988589,0.6857672916852134,-1.3372698818307256,DOWNTOWN,False,True
2011-01-14 19:00:00,2011-01-14,2011,1,14,4D,AGG. ASSAULT,39.3168119399838,-76.6155025764187,0.6862078197401366,-1.337192778028705,OLD GOUCHER,True,False
2011-01-14 23:19:00,2011-01-14,2011,1,14,4A,AGG. ASSAULT,39.2487109005743,-76.6312973290637,0.6850192323784103,-1.3374684484668982,CHERRY HILL,True,False
2011-01-14 23:42:00,2011-01-14,2011,1,14,4B,AGG. ASSAULT,39.3421487316329,-76.5677149256689,0.6866500301763052,-1.3363587261813274,MORAVIA-WALTHER,True,False
2011-01-15 02:34:00,2011-01-15,2011,1,15,4C,AGG. ASSAULT,39.32033323399,-76.6095426891775,0.6862692779144755,-1.3370887583732982,HARWOOD,True,False
2011-01-15 16:01:00,2011-01-15,2011,1,15,4C,AGG. ASSAULT,39.2326808719532,-76.6007888906085,0.6847394555997832,-1.3369359757662127,BROOKLYN,False,True
2011-01-15 21:07:00,2011-01-15,2011,1,15,4A,AGG. ASSAULT,39.3562280375579,-76.605243490674,0.6868957604210919,-1.3370137232042154,MID-GOVANS,True,False
2011-01-16 03:00:00,2011-01-16,2011,1,16,4D,AGG. ASSAULT,39.326587205602,-76.5565236151046,0.6863784303104311,-1.3361634009643673,FRANKFORD,True,False
2011-01-16 15:50:00,2011-01-16,2011,1,16,4B,AGG. ASSAULT,39.3560277767736,-76.6893212746889,0.6868922652110433,-1.338481157363056,GLEN,True,False
2011-01-16 20:40:00,2011-01-16,2011,1,16,4C,AGG. ASSAULT,39.353568670796,-76.5904217140512,0.6868493457150786,-1.3367550344011525,NEW NORTHWOOD,True,False
2011-01-17 02:42:00,2011-01-17,2011,1,17,4B,AGG. ASSAULT,39.349121789127,-76.5888031245485,0.6867717329885079,-1.336726784685092,STONEWOOD-PENTWOOD-WINSTON,True,False
2011-01-17 05:56:00,2011-01-17,2011,1,17,4B,AGG. ASSAULT,39.2615361081143,-76.6407207401606,0.6852430744772349,-1.337632918017308,WESTPORT,True,False
2011-01-17 14:10:00,2011-01-17,2011,1,17,4D,AGG. ASSAULT,39.2998090505464,-76.5804221514042,0.6859110633371013,-1.336580509109203,MADISON-EASTEND,True,False
2011-01-17 14:30:00,2011-01-17,2011,1,17,4C,AGG. ASSAULT,39.2750676143144,-76.6189997024997,0.6854792438131807,-1.3372538143931758,SHARP-LEADENHALL,True,False
2011-01-17 18:42:00,2011-01-17,2011,1,17,4A,AGG. ASSAULT,39.2563217300186,-76.6447285886723,0.685152066411021,-1.3377028681697585,LAKELAND,True,False
2011-01-17 23:05:00,2011-01-17,2011,1,17,4C,AGG. ASSAULT,39.3067461580299,-76.581569109013,0.6860321387032532,-1.3366005272958572,BEREA,True,False
2011-01-18 12:04:00,2011-01-18,2011,1,18,4A,AGG. ASSAULT,39.2813351771388,-76.575756708433,0.6855886334205421,-1.3364990817682914,CANTON,False,True
2011-01-18 12:04:00,2011-01-18,2011,1,18,4A,AGG. ASSAULT,39.2813351771388,-76.575756708433,0.6855886334205421,-1.3364990817682914,CANTON,False,True
2011-01-18 13:40:00,2011-01-18,2011,1,18,4C,AGG. ASSAULT,39.3225692683564,-76.5950309294137,0.6863083040763569,-1.3368354803851614,COLDSTREAM HOMESTEAD MONTEBELLO,True,False
2011-01-18 16:23:00,2011-01-18,2011,1,18,4B,AGG. ASSAULT,39.322280773718,-76.5897866010955,0.6863032688950425,-1.3367439495889533,COLDSTREAM HOMESTEAD MONTEBELLO,True,False
2011-01-18 17:30:00,2011-01-18,2011,1,18,4D,AGG. ASSAULT,39.2857508718517,-76.5577831396649,0.685665701832045,-1.3361853838149544,GREEKTOWN,False,True
2011-01-19 16:40:00,2011-01-19,2011,1,19,4D,AGG. ASSAULT,39.3048511694294,-76.6323433319806,0.6859990649128866,-1.3374867046617835,UPTON,True,False
2011-01-19 18:30:00,2011-01-19,2011,1,19,4C,AGG. ASSAULT,39.3521725916644,-76.7088591865843,0.6868249795376138,-1.3388221582545954,REISTERSTOWN STATION,True,False
2011-01-19 19:15:00,2011-01-19,2011,1,19,4C,AGG. ASSAULT,39.2776967793645,-76.6146013392309,0.6855251313998832,-1.3371770484724363,FEDERAL HILL,False,True
2011-01-19 20:10:00,2011-01-19,2011,1,19,4A,AGG. ASSAULT,39.3148059056621,-76.6547964507814,0.6861728078363148,-1.337878585512199,MONDAWMIN,True,False
2011-01-19 22:13:00,2011-01-19,2011,1,19,4A,AGG. ASSAULT,39.3102093082532,-76.6479912352415,0.6860925820771409,-1.3377598120947198,MONDAWMIN,True,False
2011-01-20 10:40:00,2011-01-20,2011,1,20,4C,AGG. ASSAULT,39.3317498087831,-76.6636048588338,0.6864685347339152,-1.3380323212345726,PARK CIRCLE,True,False
2011-01-20 10:52:00,2011-01-20,2011,1,20,4D,AGG. ASSAULT,39.31651380173,-76.6831222055682,0.6862026162459814,-1.338372963196341,WINDSOR HILLS,True,False
2011-01-20 13:00:00,2011-01-20,2011,1,20,4C,AGG. ASSAULT,39.2931523584161,-76.5846093641792,0.685794882142136,-1.336653589758608,PATTERSON PLACE,False,True
2011-01-20 17:00:00,2011-01-20,2011,1,20,4C,AGG. ASSAULT,39.3375815848901,-76.6606525502118,0.6865703184282216,-1.3379807937285837,GREENSPRING,True,False
